network_node	genome	Family	Division	Cluster designation
G132_Cl_5	Clostridium botulinum F str. Langeland	Clostridiaceae	Firmicutes	Alien
G132_Cl_6	Clostridium botulinum F str. Langeland	Clostridiaceae	Firmicutes	Alien
G132_Cl_7	Clostridium botulinum F str. Langeland	Clostridiaceae	Firmicutes	Alien
G133_Cl_1	Clostridium difficile 630	Clostridiaceae	Firmicutes	Native
G133_Cl_2	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_3	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_4	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_5	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_6	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_7	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_8	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_9	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_10	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_11	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G133_Cl_12	Clostridium difficile 630	Clostridiaceae	Firmicutes	Alien
G134_Cl_1	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Native
G134_Cl_2	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_3	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_4	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_5	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_6	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Native
G134_Cl_7	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_8	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_9	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G134_Cl_10	Clostridium kluyveri DSM 555	Clostridiaceae	Firmicutes	Alien
G135_Cl_1	Clostridium novyi NT	Clostridiaceae	Firmicutes	Native
G135_Cl_2	Clostridium novyi NT	Clostridiaceae	Firmicutes	Native
G136_Cl_1	Clostridium perfringens str. 13	Clostridiaceae	Firmicutes	Native
G136_Cl_2	Clostridium perfringens str. 13	Clostridiaceae	Firmicutes	Alien
G136_Cl_3	Clostridium perfringens str. 13	Clostridiaceae	Firmicutes	Native
G136_Cl_4	Clostridium perfringens str. 13	Clostridiaceae	Firmicutes	Alien
G136_Cl_5	Clostridium perfringens str. 13	Clostridiaceae	Firmicutes	Alien
G136_Cl_6	Clostridium perfringens str. 13	Clostridiaceae	Firmicutes	Alien
G137_Cl_1	Clostridium perfringens ATCC 13124	Clostridiaceae	Firmicutes	Native
G137_Cl_2	Clostridium perfringens ATCC 13124	Clostridiaceae	Firmicutes	Alien
G137_Cl_3	Clostridium perfringens ATCC 13124	Clostridiaceae	Firmicutes	Native
G137_Cl_4	Clostridium perfringens ATCC 13124	Clostridiaceae	Firmicutes	Alien
G137_Cl_5	Clostridium perfringens ATCC 13124	Clostridiaceae	Firmicutes	Native
G137_Cl_6	Clostridium perfringens ATCC 13124	Clostridiaceae	Firmicutes	Native
G138_Cl_1	Clostridium perfringens phage phiSM101	Clostridiaceae	Firmicutes	Native
G138_Cl_2	Clostridium perfringens phage phiSM101	Clostridiaceae	Firmicutes	Native
G138_Cl_3	Clostridium perfringens phage phiSM101	Clostridiaceae	Firmicutes	Native
G138_Cl_4	Clostridium perfringens phage phiSM101	Clostridiaceae	Firmicutes	Native
G139_Cl_1	Clostridium tetani E88	Clostridiaceae	Firmicutes	Native
G139_Cl_2	Clostridium tetani E88	Clostridiaceae	Firmicutes	Alien
G139_Cl_3	Clostridium tetani E88	Clostridiaceae	Firmicutes	Alien
G139_Cl_4	Clostridium tetani E88	Clostridiaceae	Firmicutes	Alien
G140_Cl_1	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Native
G140_Cl_2	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_3	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Native
G140_Cl_4	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_5	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_6	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_7	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_8	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_9	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_10	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_11	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G140_Cl_12	Clostridium thermocellum ATCC 27405	Clostridiaceae	Firmicutes	Alien
G141_Cl_1	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Native
G141_Cl_2	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Native
G141_Cl_3	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Native
G141_Cl_4	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Alien
G141_Cl_5	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Native
G141_Cl_6	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Alien
G141_Cl_7	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Alien
G141_Cl_8	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Alien
G141_Cl_9	Colwellia psychrerythraea 34H	Colwelliaceae	Proteobacteria	Native
G142_Cl_1	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Native
G142_Cl_2	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_3	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_4	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_5	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_6	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_7	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_8	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_9	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_10	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_11	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_12	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_13	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_14	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_15	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Native
G142_Cl_16	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_17	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_18	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_19	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_20	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G142_Cl_21	Corynebacterium diphtheriae NCTC 13129	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_1	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Native
G143_Cl_2	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_3	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_4	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_5	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_6	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_7	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_8	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G143_Cl_9	Corynebacterium efficiens YS-314	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_1	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Native
G144_Cl_2	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_3	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_4	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_5	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_6	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_7	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_8	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_9	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_10	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_11	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_12	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_13	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_14	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_15	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_16	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_17	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_18	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G144_Cl_19	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_1	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Native
G145_Cl_2	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_3	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_4	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_5	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_6	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_7	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_8	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_9	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_10	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_11	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_12	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_13	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_14	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_15	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_16	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_17	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_18	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_19	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_20	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G145_Cl_21	Corynebacterium glutamicum ATCC 13032	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_1	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Native
G146_Cl_2	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_3	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_4	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_5	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_6	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_7	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_8	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_9	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_10	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_11	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_12	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_13	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_14	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_15	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_16	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_17	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_18	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G146_Cl_19	Corynebacterium glutamicum R	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_1	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Native
G147_Cl_2	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_3	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_4	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_5	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_6	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_7	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_8	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_9	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_10	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_11	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_12	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_13	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_14	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G147_Cl_15	Corynebacterium jeikeium K411	Corynebacteriaceae	Actinobacteria	Alien
G148_Cl_1	Coxiella burnetii RSA 493	Coxiellaceae	Proteobacteria	Native
G148_Cl_2	Coxiella burnetii RSA 493	Coxiellaceae	Proteobacteria	Native
G148_Cl_3	Coxiella burnetii RSA 493	Coxiellaceae	Proteobacteria	Alien
G149_Cl_1	Coxiella burnetii Dugway 7E9-12	Coxiellaceae	Proteobacteria	Native
G149_Cl_2	Coxiella burnetii Dugway 7E9-12	Coxiellaceae	Proteobacteria	Alien
G149_Cl_3	Coxiella burnetii Dugway 7E9-12	Coxiellaceae	Proteobacteria	Native
G149_Cl_4	Coxiella burnetii Dugway 7E9-12	Coxiellaceae	Proteobacteria	Native
G150_Cl_1	Synechococcus sp. JA-3-3Ab	Unknown	Cyanobacteria	Native
G150_Cl_2	Synechococcus sp. JA-3-3Ab	Unknown	Cyanobacteria	Alien
G150_Cl_3	Synechococcus sp. JA-3-3Ab	Unknown	Cyanobacteria	Alien
G150_Cl_4	Synechococcus sp. JA-3-3Ab	Unknown	Cyanobacteria	Alien
G151_Cl_1	Synechococcus sp. JA-2-3B'a(2-13)	Unknown	Cyanobacteria	Native
G151_Cl_2	Synechococcus sp. JA-2-3B'a(2-13)	Unknown	Cyanobacteria	Alien
G151_Cl_3	Synechococcus sp. JA-2-3B'a(2-13)	Unknown	Cyanobacteria	Alien
G151_Cl_4	Synechococcus sp. JA-2-3B'a(2-13)	Unknown	Cyanobacteria	Alien
G152_Cl_1	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Native
G152_Cl_2	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_3	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Native
G152_Cl_4	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_5	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_6	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_7	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_8	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_9	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_10	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_11	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_12	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_13	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_14	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G152_Cl_15	Cytophaga hutchinsonii ATCC 33406	Flexibacteraceae	Bacteroidetes	Alien
G153_Cl_1	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Native
G153_Cl_2	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_3	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_4	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_5	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_6	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_7	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_8	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_9	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_10	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_11	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Native
G153_Cl_12	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G153_Cl_13	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Native
G153_Cl_14	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Native
G153_Cl_15	Dechloromonas aromatica RCB	Rhodocyclaceae	Proteobacteria	Alien
G154_Cl_1	Dehalococcoides sp. BAV1	Unknown	Chloroflexi	Native
G154_Cl_2	Dehalococcoides sp. BAV1	Unknown	Chloroflexi	Alien
G154_Cl_3	Dehalococcoides sp. BAV1	Unknown	Chloroflexi	Alien
G154_Cl_4	Dehalococcoides sp. BAV1	Unknown	Chloroflexi	Alien
G154_Cl_5	Dehalococcoides sp. BAV1	Unknown	Chloroflexi	Alien
G154_Cl_6	Dehalococcoides sp. BAV1	Unknown	Chloroflexi	Alien
G155_Cl_1	Dehalococcoides sp. CBDB1	Unknown	Chloroflexi	Native
G155_Cl_2	Dehalococcoides sp. CBDB1	Unknown	Chloroflexi	Alien
G155_Cl_3	Dehalococcoides sp. CBDB1	Unknown	Chloroflexi	Alien
G155_Cl_4	Dehalococcoides sp. CBDB1	Unknown	Chloroflexi	Alien
G155_Cl_5	Dehalococcoides sp. CBDB1	Unknown	Chloroflexi	Alien
G155_Cl_6	Dehalococcoides sp. CBDB1	Unknown	Chloroflexi	Alien
G156_Cl_1	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Native
G156_Cl_2	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Alien
G156_Cl_3	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Alien
G156_Cl_4	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Alien
G156_Cl_5	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Alien
G156_Cl_6	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Alien
G156_Cl_7	Dehalococcoides ethenogenes 195	Unknown	Chloroflexi	Alien
G157_Cl_1	Deinococcus geothermalis DSM 11300	Deinococcaceae	Deinococcus-Thermus	Native
G157_Cl_2	Deinococcus geothermalis DSM 11300	Deinococcaceae	Deinococcus-Thermus	Alien
G157_Cl_3	Deinococcus geothermalis DSM 11300	Deinococcaceae	Deinococcus-Thermus	Alien
G157_Cl_4	Deinococcus geothermalis DSM 11300	Deinococcaceae	Deinococcus-Thermus	Alien
G157_Cl_5	Deinococcus geothermalis DSM 11300	Deinococcaceae	Deinococcus-Thermus	Alien
G158_Cl_1	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Native
G158_Cl_2	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Alien
G158_Cl_3	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Alien
G158_Cl_4	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Alien
G158_Cl_5	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Alien
G158_Cl_6	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Alien
G158_Cl_7	Deinococcus radiodurans R1	Deinococcaceae	Deinococcus-Thermus	Alien
G159_Cl_1	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Native
G159_Cl_2	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_3	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_4	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_5	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_6	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_7	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Native
G159_Cl_8	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_9	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_10	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Native
G159_Cl_11	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Native
G159_Cl_12	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_13	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_14	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Native
G159_Cl_15	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_16	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G159_Cl_17	Desulfitobacterium hafniense Y51	Peptococcaceae	Firmicutes	Alien
G160_Cl_1	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Native
G160_Cl_2	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_3	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_4	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_5	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_6	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_7	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_8	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Native
G160_Cl_9	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_10	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_11	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_12	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_13	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_14	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_15	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_16	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_17	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_18	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_19	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_20	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G160_Cl_21	Desulfotalea psychrophila LSv54	Desulfobulbaceae	Proteobacteria	Alien
G161_Cl_1	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Native
G161_Cl_2	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Native
G161_Cl_3	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Native
G161_Cl_4	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Alien
G161_Cl_5	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Native
G161_Cl_6	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Alien
G161_Cl_7	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Alien
G161_Cl_8	Desulfotomaculum reducens MI-1	Peptococcaceae	Firmicutes	Native
